question,level,category,product,option_a,option_b,option_c,option_d,correct_option
"Zinsser ""Bullseye 1-2-3"" is a versatile primer. What is the maximum recommended VOC content for this product in accordance with U.S. EPA regulations for low-VOC formulations?",5,Brand,Zinsser,200 grams per L,450  grams per L,350 grams per L,250 grams per L,250 grams per L
What does MDF stand for?,2,Wood,Engineered,Magnetic Density Fiberboard,Multi-Density Fiberboard,Modified Density Fiberboard,Medium Density Fiberboard,Medium Density Fiberboard
"What is the primary advantage of using plywood with a ""veneered"" surface as opposed to plain plywood?",2,Wood,Enginereed,Veneered plywood is more resistant to fire and water damage,Veneered plywood has a more durable core structure,Veneered plywood is lighter and more flexible,Veneered plywood is easier to stain evenly compared to plain plywood,Veneered plywood is easier to stain evenly compared to plain plywood
What is the main material used to produce OSB?,1,Wood,Enginereed,Recycled plastic,Solid wood planks,Compressed cardboard,"Wood strands, resin, and wax","Wood strands, resin, and wax"
What is a key factor in the production of OSB that contributes to its strength and performance?,2,Wood,Enginereed,The coating of the material with a waterproof finish,The application of pressure during the cutting process,The use of solid wood as the base material,The alignment of the wood strands in a specific orientation,The alignment of the wood strands in a specific orientation
What is the typical drying time for Protek wood finishes?,2,Brand,Protek,24-48 hours,5-10 minutes,1-2 weeks,2-4 hours,2-4 hours
Which of the following statements about Protek's wood finishes and UV protection is correct?,3,Brand,Protek,"Protek’s finishes provide full protection against UV rays, but they do not prevent discoloration of the wood over time",Protek’s finishes use a chemical barrier that blocks UV rays completely and prevents any fading,"Protek’s finishes cannot protect against UV damage, but they protect against moisture and physical wear",Protek’s finishes include UV absorbers that protect the wood from damage while allowing natural wood aging without discoloration,Protek’s finishes include UV absorbers that protect the wood from damage while allowing natural wood aging without discoloration
What is a major advantage of using bamboo as a building material compared to traditional hardwoods?,1,Wood,Bamboo,Bamboo is slower to grow and harder to harvest,Bamboo is much more expensive than traditional hardwoods,Bamboo is less durable than most hardwood,Bamboo grows quickly and is a renewable resource,Bamboo grows quickly and is a renewable resource
Which of the following is a challenge when using bamboo for construction or wood products?,2,Wood,Bamboo,Bamboo does not provide good insulation,Bamboo is difficult to source in many regions,"Bamboo has very high moisture retention, leading to warping",Bamboo requires chemical treatment to prevent termite damage,Bamboo requires chemical treatment to prevent termite damage
What is Repair Care commonly used for?,1,Wood,Repaircare,Creating new furniture,Repairing and restoring damaged wood,Building wooden structures,Repairing and restoring damaged wood,Repairing and restoring damaged wood
"In terms of wood repairs, why is it essential to use Repair Care's wood primer before applying the repair filler?",3,Wood,Repaircare,To clean the wood and remove dust,To create a smooth surface for easier application,To speed up the curing time of the filler,To ensure the repair filler adheres properly to the wood,To ensure the repair filler adheres properly to the wood
How does cedar wood perform in terms of weight compared to other hardwoods?,4,Wood,Cedar,Cedar is as heavy as mahogany,Cedar has the same weight as oak,Cedar is heavier than most hardwoods,Cedar is relatively lightweight,Cedar is relatively lightweight
What type of wood is pine?,1,Wood,Softwood,Engineered wood,Exotic wood,Hardwood ,Softwood,Softwood
Which environmental condition is pine wood particularly sensitive to?,2,Wood,Softwood,"Dry, arid conditions",Direct sunlight for long periods,Extreme heat,"Moisture, as it can warp and rot if exposed to excessive moisture over time","Moisture, as it can warp and rot if exposed to excessive moisture over time"
What is a primary characteristic of iroko wood?,2,Wood,Hardwood,It has a reddish hue,It is naturally blue in colour,It has a very pale white colour,It has a yellow to golden-brown color that darkens with age,It has a yellow to golden-brown color that darkens with age
How does iroko wood perform in terms of sustainability?,4,Wood,Hardwood,It is only available from illegal logging operations,It is unsustainable and widely overharvested,It is considered endangered and should not be used,"It is considered a sustainable wood, but its availability depends on responsible forestry practices","It is considered a sustainable wood, but its availability depends on responsible forestry practices"
"Iroko is sometimes referred to as ""African teak."" What is one reason this nickname is used?",5,Wood,Hardwood,Iroko trees are found in the same regions as teak trees,Iroko is as rare and expensive as true teak,Iroko is chemically identical to teak,"Iroko shares similar physical properties with teak, such as durability and resistance to decay","Iroko shares similar physical properties with teak, such as durability and resistance to decay"
Where is idigbo wood commonly found?,2,Wood,Hardwood,North America,Southeast Asia,South America,West Africa,West Africa
Which of the following is a challenge when using idigbo wood in outdoor applications?,2,Wood,Hardwood,Idigbo requires no finishing or treatment to be durable outdoors,"Idigbo has a high tolerance to saltwater, making it suitable for marine environments",Idigbo is naturally resistant to UV rays and extreme weather,"It is not as durable as some other hardwoods, and may require regular maintenance and treatment to withstand the elements","It is not as durable as some other hardwoods, and may require regular maintenance and treatment to withstand the elements"
How can raised grain be prevented when finishing wood?,4,Wood,Grain,By using coarse sandpaper to remove the raised fibers,By using a heat gun to dry the wood faster,By applying a thick layer of finish to seal the surface quickly,By lightly sanding the wood after applying a wet coat and before the finish fully dries,By lightly sanding the wood after applying a wet coat and before the finish fully dries
What is the typical solution for addressing raised grain after sanding wood?,4,Wood,Grain,Using steel wool to buff the surface before finishing,Scraping the raised grain with a sharp chisel to smooth the surface,Applying a thick coat of finish without any additional sanding,Lightly sanding the wood again after applying a coat of water or finish to smooth out the lifted fibers,Lightly sanding the wood again after applying a coat of water or finish to smooth out the lifted fibers
Why is raised grain more of a concern when finishing softwoods like pine compared to dense hardwoods like walnut?,3,Wood,Grain,"Softwoods like pine contain more natural oils, which reduce the chances of raised grain","Dense hardwoods like walnut have more resin content, which prevents grain raising","Softwoods like pine have more tight, compact fibers that don’t absorb moisture and raise grain","Softwoods like pine have long, loose fibers that are more susceptible to swelling and raising when exposed to moisture","Softwoods like pine have long, loose fibers that are more susceptible to swelling and raising when exposed to moisture"
What type of sandpaper is most commonly used for woodworking?,4,Preparation,Sanding,Wet and dry,Diamond,Garnet,Aluminum oxide,Aluminum oxide
Why is it important to ensure sandpaper is properly aligned with the wood grain when sanding?,4,Preparation,Sanding,Sanding against the grain allows finishes to adhere better to the wood surface,Sanding with the grain creates deeper scratches that must be sanded out later,Sanding against the grain provides a smoother surface and makes it easier to stain,Sanding with the grain minimizes the visibility of scratches and preserves the natural appearance of the wood,Sanding with the grain minimizes the visibility of scratches and preserves the natural appearance of the wood
"Which sanding machine is best suited for fine finishing tasks on smaller, intricate wood surfaces?",2,Preparation,Sanding,Random orbital sander,Drum sander,Belt sander,Detail sander,Detail sander
"When using a belt sander, what is the most important safety precaution to take?",3,Preparation,Sanding,Apply heavy pressure to speed up the sanding process,Sand in short bursts to avoid overheating,Use the sander at a low speed for better control,Always keep the sander moving to prevent gouging or damaging the wood surface,Always keep the sander moving to prevent gouging or damaging the wood surface
Which of the following wood types is most susceptible to warping?,3,Wood,,Hardwoods like oak and maple,Plywood,Engineered woods like MDF,Softwoods like pine and spruce,Softwoods like pine and spruce
What is the main reason for warping in plywood?,3,Wood,,Plywood is thicker than solid wood,Plywood does not absorb moisture,The wood grain is uniform in all directions,The layers are unevenly bonded,The layers are unevenly bonded
"What is the primary advantage of using a ""sash"" brush for painting trim and corners?",3,Application,Brush,"It holds more paint, reducing the need for frequent dipping",Its large size provides faster coverage,Its bristles are designed to create a textured finish,It allows for precise control and smooth application in tight spaces,It allows for precise control and smooth application in tight spaces
Which of the following wood finishes is most likely to cause grain reversal?,4,,,Shellac,Lacquer,Wax,Water-based finishes applied unevenly,Water-based finishes applied unevenly
What primer would you use with the Bona supersport HD? ,2,Brand,Bona,Bona amber primer,Bona classic UX primer,Bona natural primer,Bona supersport primer,Bona supersport primer
"Bona’s ""Traffic"" line of products is designed for which type of flooring?",1,Brand,Bona,Laminate floors,Concrete floors,Vinyl floors,Floors in high-traffic areas,Floors in high-traffic areas
How is distemper different from modern emulsion paints?,3,Product type,Paint,"Distemper is water-resistant, while emulsions are not",Distemper requires more coats for coverage than emulsions,"Distemper is oil-based, while emulsions are water-based","Distemper is a chalky, matte finish and not as durable as emulsions","Distemper is a chalky, matte finish and not as durable as emulsions"
What is the primary benefit of using limewash on walls?,3,Product type,Paint,It provides a highly durable and glossy finish,It enhances the gloss of the surface,It is impervious to all forms of damage,"It creates a matte, breathable finish that helps regulate humidity","It creates a matte, breathable finish that helps regulate humidity"
What is the primary disadvantage of using limewash in high-traffic areas?,2,Product type,Paint,It is too durable and difficult to remove,It is impervious to water damage,It becomes too glossy with wear,It tends to fade and wear off over time,It tends to fade and wear off over time
How can limewash be cleaned?,4,Product type,Paint,Abrasive scrubbing with a brush,It should not be cleaned at all,Using soap and water,"Lightly wiping with a damp cloth, avoiding scrubbing","Lightly wiping with a damp cloth, avoiding scrubbing"
Which of the following is a key challenge when applying colour drenching to a room with low natural light?,4,Product type,Paint,It may cause the room to feel more expansive and airy,It makes the walls appear less reflective and light enhances the room,It causes the colour to appear brighter and more saturated than intended,The room may feel too overwhelming or closed in,The room may feel too overwhelming or closed in
What is the difference between Manns classic pine stain and Manns classic oak stain?,2,Brand,Manns,"Oak stain can be used on all wood, pine is just for pine",Both the same and can be used on all woods,Pine stain is designed for darker hardwood and oak stain is designed for lighter softwoods,"Pine is designed for pale softwood, and oak is suitable for darker hardwood","Pine is designed for pale softwood, and oak is suitable for darker hardwood"
What can happen if you use the Manns Oak stain on Pine timber?,4,Brand,Manns,It can go white ,It can go black,It can go red,It can go green,It can go green
What percentage of Manns classic wood dye would you add to Manns extra tough interior varnish?,4,Brand,Manns,Cannot do it,5%,7%,10%,10%
"Polyvine’s ""Heavy Duty Interior Wood Varnish"" provides which of the following properties?",2,Brand,Polyvine,Fire resistant coating,Instant drying time for outdoor use,Creates a glossy reflective finish for metal,Durable protection for wood surfaces,Durable protection for wood surfaces
What are the Woodleys disposable foam brushes best for applying? ,2,Application,,Oil based paints ,Water based paints,Oil based stains,Water based stains and dyes,Water based stains and dyes
"Someone is planning to paint over a mouldy wall, what do they need to do before painting? ",1,Brand,Zinsser,Clean with methylated spirits,Paint straight over the mould,Treat with a wood preservative,Clean with a mould and mildew cleaner,Clean with a mould and mildew cleaner
Which of the following surfaces can Zinsser All Coat Exterior be applied to?,3,Brand,Zinsser,Drywall surfaces with a smooth finish,Glossy vinyl flooring,Non-porous metal surfaces such as aluminum and steel,"Unfinished wood, brick, masonry, and concrete","Unfinished wood, brick, masonry, and concrete"
Which of the following surfaces can Zinsser Bulls Eye 1-2-3 be applied to?,3,Brand,Zinsser,High-gloss enamel finishes without any surface preparation,Wet or damp surfaces without drying,Only metal surfaces that have been sanded to a smooth finish,"Bare wood, drywall, plaster, and previously painted surfaces","Bare wood, drywall, plaster, and previously painted surfaces"
What should you do if Zinsser Bulls Eye 1-2-3 is applied to a surface and you notice peeling or poor adhesion?,5,Brand,Zinsser,Apply another coat of Zinsser Bulls Eye 1-2-3 and wait longer before topcoating,Apply a coat of water to the surface to make it more receptive to the primer,Apply a coat of oil-based primer over the Zinsser Bulls Eye 1-2-3 and then paint,"Sand the surface to remove peeling areas, clean it thoroughly, and reapply the primer","Sand the surface to remove peeling areas, clean it thoroughly, and reapply the primer"
"Dulux's ""Weathershield"" range is specifically designed for which of the following purposes?",4,Brand,Dulux,For use only on wood surfaces indoors,To create a shiny gloss finish on kitchen walls,To be used only on furniture and decorative items,To provide protection against weathering for exterior surfaces,To provide protection against weathering for exterior surfaces
"Dulux ""Colour of the Year"" is selected based on which of the following factors?",4,Brand,Dulux,The most purchased colour in the previous year,A vote by the public through social media,A panel of celebrity designers,"Global trends in fashion, design, and culture","Global trends in fashion, design, and culture"
"Dulux ""Trade"" has a range for floors and heavy-duty areas. What makes Dulux ""Trade Floor Paint"" suitable for high-traffic areas?",5,Brand,Dulux,"It is designed to be applied in multiple layers, providing flexibility","It contains a higher amount of gloss, which helps it resist dirt",It uses a quick-drying formula that allows for faster re-coating,It incorporates tough epoxy-based technology to provide enhanced wear and chemical resistance,It incorporates tough epoxy-based technology to provide enhanced wear and chemical resistance
"Sandtex Trade offers a range of products. Which of the following is a key benefit of Sandtex Trade’s ""Ultra Smooth Masonry"" paint?",2,Brand,Sandtex,It is specifically designed for use on metal,It can only be applied to wooden surfaces,It provides a rough texture for non-slip surfaces,"It offers a smooth, durable finish for masonry, including brick and stone","It offers a smooth, durable finish for masonry, including brick and stone"
"Sadolin ""Classic"" woodstain offers a long-lasting finish. What is one of the key features that make it suitable for exterior wood surfaces?",2,Brand,Sadolin ,It is a high-gloss finish that reflects UV rays,It is designed to be used only in dry conditions,It is formulated with flexible resins to prevent cracking and peeling under extreme temperatures,It contains advanced UV filters that protect wood from weathering and sun damage,It contains advanced UV filters that protect wood from weathering and sun damage
Whats the difference between Sadolin wood preserver and Sadolin quick drying wood preserver? ,3,Brand,Sadolin ,Both the same ,"Quick dry is coloured, wood preserver is clear","Quick dry is for inside, wood preserver is for exterior","Quick dry is water based, wood preserver is solvent based","Quick dry is water based, wood preserver is solvent based"
What is a key advantage of using Osmo Polyx Oil Tints over traditional wood stains?,3,Brand,Osmo ,It is more expensive but lasts longer than other oils,It requires multiple coats to achieve any color effect,It is only suitable for use on outdoor wooden surfaces,"It penetrates the wood deeply, providing both color and protection in one product","It penetrates the wood deeply, providing both color and protection in one product"
"Someone has veneered doors and they want to use Osmo after the manufacturer recommended it, they want a completely natural finish. What product is best? ",4,Brand,Osmo ,Osmo wood wax finish exra thin,Osmo country colour,Osmo polyx oil in matt,Osmo door oil raw,Osmo door oil raw
Can I mix the Osmo interior wood fillers together? ,1,Brand,Osmo,"Yes, but add lots of water",No you cant intermix them,Yes but as long as you mix with meths,Yes absolutely,Yes absolutely
What makes Osmo Garden colour different to the rest of Osmo products? ,3,Brand,Osmo ,You can use it inside and outside,You can spray it ,Its solvent based,Its water based,Its water based
What is the product code for the Osmo wood protector? ,3,Brand,Osmo ,4001,8016,3032,4006,4006
What is the difference between Osmo country colour and Osmo country shades? ,4,Brand,Osmo ,Osmo country shades has a bigger colour range and is higher in VOC content ,Osmo country shades covers a greater area,"Osmo country shades has UV protection, Osmo country colour does not ",Osmo country shades has a lower VOC and a lower odour ,Osmo country shades has a lower VOC and a lower odour 
How long does it take Fiddes hard wax oil to cure? ,2,Brand,Fiddes,2 days,3 days,20 days,7 days,7 days
"I have used one coat of Fiddes hard wax oil tint and I love the colour, what can I use now to not alter the colour much? ",3,Brand,Fiddes,Another coat of Fiddes hard wax oil tint,Just leave it with one coat of the tint,Wipe over with meths ,Apply a coat of clear Fiddes hard wax oil ,Apply a coat of clear Fiddes hard wax oil 
How long does it take Fiddes supreme wax polish to dry? ,2,Brand,Fiddes,20 minutes ,30 minutes,1 hour,10 minutes,10 minutes
What is a key benefit of using Barrettine Decking Oil?,2,Brand,Barrettine,It only requires one thin coat ,Provides an anti slip finish for decking ,Provides a robust opaque finish for decking ,Provides long-lasting protection against weathering and UV damage,Provides long-lasting protection against weathering and UV damage
What does Barrettine water seal do? ,3,Brand,Barrettine,Stains and preserves wooden surfaces,Designed for concrete only and keeps the moisture from getting in ,Designed for plaster to keep any moisture from escaping ,"Leaves a breathable water repellant membrane for wood, bricks and concrete ","Leaves a breathable water repellant membrane for wood, bricks and concrete "
Can Barrettine Wood Protective Treatment be sprayed?,2,Brand,Barrettine,Only recommended to brush or roll this product,No it can only be used with a cloth,No it is to thick to be sprayed,Yes but only with a selecta 7 sprayer,Yes but only with a selecta 7 sprayer
Can you use Barrettine wood protective treatment on top of painted wooden furniture?,3,Brand,Barrettine,"Yes, it will give a lovely finish ",As long as you are lightly sanding it will be fine,"Yes, you just need to wipe over with  meths first","No, it will not soak through paint","No, it will not soak through paint"
Can the Barrettine Wood Protective Treatment be used on decking?,2,Brand,Barrettine,No it is not recommended for exterior projects ,Yes aslong as 3 coats are done,Yes but only the clear version,It is not recommended under foot ,It is not recommended under foot 
What type of paint is Crown’s Fastflow range designed for?,3,Brand,Crown,Glass and ceramic,Masonry,Walls and ceilings,Wood and metal,Wood and metal
What is the primary purpose of Liberon Wood Dye?,1,Brand,Liberon,Fill wood cracks and gaps,Provide a waterproof coating,Create a high-gloss finish,Enhance and colour wood surfaces,Enhance and colour wood surfaces
What substrates CANT Liberon anti slip coating be used on? ,4,Brand,Liberon,Stone,Ceramic tiles,Wood ,Metal,Metal
What is Liberon Iron paste used for?,3,Brand,Liberon,Renovating fascia and soffits,Renovating coving,Renovating window and door frames,Renovating cast iron ,Renovating cast iron 
How long does Manns Trade Extra Tough Pro Lacquer keep once the catalyst is mixed?,3,Brand,Manns ,1 hour,3 hours,2 hours,4 hours,4 hours
Morrells sell a 'gunwash' what is this product called?,2,Brand,Morrells,Morrells cellulose thinners,Morrells 250 pre cat lacquer,Morrells nitrocellulose,Morrells equipment cleaner,Morrells equipment cleaner
What is the term used to describe the amount of water present in wood?,1,Wood,Moisture,Porosity,Grain structure,Density,Moisture content,Moisture content
How does the type of wood affect its moisture content?,3,Wood,Moisture,Hardwoods always have higher moisture content than softwoods,"Moisture content is not affected by the type of wood, only by the climate",All wood species have the same equilibrium moisture content,Different species of wood have varying equilibrium moisture contents due to differences in cell structure,Different species of wood have varying equilibrium moisture contents due to differences in cell structure
Which of the following is a common wood extractive found in pine?,3,Wood ,Extractives,Chlorophyll,Lignin,Tannin,Resin (also known as pitch),Resin (also known as pitch)
What is the best time to paint plaster after it has been applied to a wall?,4,General K,Plaster,"After the plaster has dried to a hard finish, but not fully cured",When the plaster is still damp to the touch,Immediately after the plaster is applied,Once the plaster has fully dried and cured ,Once the plaster has fully dried and cured 
What makes Accoya wood environmentally friendly?,2,Wood,Accoya,It is manufactured with low energy consumption,It is resistant to chemical treatment and does not release toxins,"It is a synthetic material, reducing deforestation",It is sourced from sustainable forests and is fully recyclable,It is sourced from sustainable forests and is fully recyclable
What feature of Accoya wood makes it ideal for use in marine environments?,5,Wood,Accoya,Its ability to maintain structural integrity when submerged,Its resistance to UV damage and discoloration in saltwater,Its natural buoyancy and ability to float on water,Its exceptional resistance to water absorption and rot,Its exceptional resistance to water absorption and rot
What makes Tricoya wood more durable than untreated softwood?,3,Wood ,Tricoya,"Tricoya wood is coated with a layer of synthetic plastic, enhancing its strength",Tricoya wood undergoes a drying process that increases its resistance to weathering,"Tricoya wood is harvested from more resilient tree species, making it naturally more durable","Tricoya wood is chemically treated to resist water, rot, and decay, making it significantly more durable","Tricoya wood is chemically treated to resist water, rot, and decay, making it significantly more durable"
What feature of Tricoya makes it a good choice for humid and marine environments?,4,Wood ,Tricoya,"Tricoya is chemically treated to enhance its weight, making it sink in water",Tricoya is coated with a waterproof plastic layer that prevents any water absorption,Tricoya is naturally resistant to UV radiation and does not degrade in sunlight.,"Tricoya is treated with an acetylation process that makes it highly resistant to moisture, rot, and decay","Tricoya is treated with an acetylation process that makes it highly resistant to moisture, rot, and decay"
What is the main process used to create Thermowood?,4,Wood,Thermowood,Thermowood is made by chemically treating wood with resins to increase its durability,Thermowood is produced by impregnating wood with synthetic polymers to improve its stability,Thermowood is created by applying a special coating to the surface of the wood to resist moisture,"Thermowood is created by heating wood to high temperatures in a controlled environment without oxygen, a process known as thermal modification","Thermowood is created by heating wood to high temperatures in a controlled environment without oxygen, a process known as thermal modification"
How does Thermowood perform in outdoor applications?,4,Wood,Thermowood,"Thermowood performs well outdoors but has poor resistance to UV rays, causing it to fade rapidly",Thermowood requires constant maintenance and re-treatment to prevent degradation in outdoor conditions,Thermowood is not suitable for outdoor applications because it deteriorates quickly when exposed to weather,"Thermowood performs excellently in outdoor applications, as it has enhanced resistance to moisture, rot, and decay due to the heat treatment process.","Thermowood performs excellently in outdoor applications, as it has enhanced resistance to moisture, rot, and decay due to the heat treatment process."
What do you need to advise a customer if they want to use a jet washer on their decking?,2,General K,,Use a higher pressure setting,Go from low to high,Go from high to low,Use a lower pressure seting  ,Use a lower pressure seting  
What product is polyurethane found in?,1,General K,,Wax polishes,Oil,Preserver,Varnish,Varnish
"If the wood is not sanded correctly, what can happen if a stain is applied?",1,Preparation,Sanding ,It will look uniform and consitent ,It will look okay as long as you seal it with a varnish,"If another coat of stain is applied, it will make it look uniform",It can come out patchy and not uniform,It can come out patchy and not uniform
What base is Manns classic wood dye?,1,Brand,Manns ,Polyurethane,Solvent,Oil,Water,Water
What is a caulk? ,2,General K,,A wood stain ,A tool to cut metal,A heavy duty adhesive ,Flexible material for sealing joints and gaps,Flexible material for sealing joints and gaps
How would you stop paint from getting on a skirting board if your painting your wall?,2,Product type ,Paint,Gloves,Oil,Varnish ,Masking tape ,Masking tape 
Can Ronseal diamond hard floor paint go on vinyl?,3,Brand,Ronseal,"If you clean the vinyl first, yes ",If you use Polyvine underneath,Yes,No,No
What product would you add Craig and rose Artisan Glitter Glaze to?,4,Brand,Craig and rose,Craig and rose concrete effect,Craig and Rose Metallic effect,Craig and rose rust effect,Craig and Rose Chalky Emulsion Paint,Craig and Rose Chalky Emulsion Paint
What product from this list would be microporous?,2,General K,,Manns extra tough interior varnish ,Fiddes supreme wax polish,Liberon liquid wax paste black bison,Fiddes hard wax oil ,Fiddes hard wax oil 
What is the advantage of a varnish? ,2,Product type,Varnish,It can be spot repaired,It will withstand all amount of heat,Its child safe ,It will be the most robust against wear and tear,It will be the most robust against wear and tear
"The log cabin has a square-shaped floor with a side length of 8 meters. If the logs are stacked to a height of 4 meters and the diameter of each log is 0.2 meters, what is the total number of logs used to construct the walls?",5,General K,Measurements,100 logs,80 logs,90 logs,120 logs ,120 logs 
What does the term joinery mean?,1,General K,,Joinery is the name for a type of textile pattern used in fabric design,Joinery refers to the act of attaching walls and ceilings in building construction,Joinery is the process of welding metal components together to form structures,"Joinery is the process of connecting pieces of wood to make furniture, doors and windows","Joinery is the process of connecting pieces of wood to make furniture, doors and windows"
"To use Polyvine decorators varnish in dead flat, what must the customer do first?",2,Brand,Polyvine,Apply 3 coats of dead flat ,Mix it with the satin ,Apply one coat of satin first,Apply two coats of satin first,Apply two coats of satin first
What is one of the most recognized features of spalted wood?,4,Wood,Spalted,"Smooth, uniform color with no visible grain","Completely clear, transparent appearance",High resistance to water damage,"Distinctive, dark lines or patterns caused by fungal growth","Distinctive, dark lines or patterns caused by fungal growth"
"What is the primary visual characteristic that distinguishes ""spalted"" wood from ""rotten"" wood?",5,Wood,Spalted,"Rotten wood often has a shiny surface, while spalted wood is always matte","Spalted wood is smooth to the touch, while rotten wood is rough and dry","Rotten wood has a bright, uniform color, while spalted wood is always dark and uneven","Spalted wood has distinct, dark lines or patterns created by fungal growth, while rotten wood looks crumbled and decayed","Spalted wood has distinct, dark lines or patterns created by fungal growth, while rotten wood looks crumbled and decayed"
