Questions,Level,Category ,,Answer 1,Answer 2,Answer 3,Answer 4 ,Correct Answer
What are characteristics of a softwood?,1,Wood,Softwood,"Cheap, Light and flexible","Hard, tight grain and firm","Darker, durable and fire resistant ","Flammable, heavier and strong ",A
What is engineered wood?,1,Wood,Engineered,Thicker piece of wood stuck to a subcore,Solid wood ,Wood fibres bonded with resin and pressure,Thin piece of wood stuck to core panel,A
What is the best brush for oil?,1,Product type,Oil,Natural or Bristle blend,Synthetic brush,Masonry brush ,Angled brush,A
Name the four 'bases' of products?,1,General K,Bases,"Water, Meths, White Spirit and Cellulose","Meths, Turps, Water and Glycol","Water, Meths, Formaldehyde and Cellulose","Toulene, Zinc, Water and Meths",A
What is eggshell used on?,1,Product type,Paint,Walls and Woodwork,Concrete ,Glass ,Metal,A
What are Bona best known for? ,1,Brand,Bona,Varnishes,Oils,Paints,Waxes,A
Why do we get customers to do a oil test?,1,Product type,Oil,To check if wood is thirsty or to try to see what has previously been used,To see what a clear product would look like,To see if a wax polish will adhere to the surface,To see if the wood can be treated,A
What does preserve mean?,1,Product type,Preserver,"To protect from Fungi, Mould and Wood boring insects ",To protect it from water ingress,To protect it from moisture ,To protect it from delaminating ,A
If I have a log cabin that’s 3m (w) x 4m (l) x 2.5m (h) how many m2 do I have?,1,General K,Measurements,35m2,33m2,29m2 ,36m2,A
What is the difference between Osmo polyx oil and Osmo polyx oil raw?,1,Brand,Osmo,Osmo polyx oil Raw contains white pigment to keep the natural colour,Osmo polyx oil contains white to keep the natural colour,Osmo polyx oil comes in high gloss whereas raw is just satin,Osmo polyx oil raw can go outside ,A
Whats the difference between a pre cat and a acid cat?,1,Product type,Varnish,Pre cat is one part and acid cat is two part,Acid cat is coloured and pre cat is clear,Pre cat is two part and acid cat is one part,Acid cat is solvent based and pre cat is water based,A
"I have wood boring insects, what product is most suitable?",1,Product type,Preserver,Barrettine woodworm killer,Barrettine premier wood preservative,Barrettine decking oil,Barrettine wood protective treatment,A
What can you do to Manns wood stain to lighten the shade?,2,Brand,Manns,Dilute with water ,Dilute with meths,Dilute with white spirit,Dilute with cellulose,A
What wood type is classed as softwood but treated like hardwood?,2,Wood,Softwood,Cedar  ,Walnut,Pine,Teak,A
What type of roller would you recommend to apply varnish? ,2,Product type,Application,Microfibre roller,Velour roller,Mohair roller,Woven roller,A
What is the typical recommended temperature for completing exterior projects?,2,Preparation ,,Not less than 8 - 10 degrees,Not less than 2 - 4 degrees,Not less than 10 - 12 degrees,Not less than 20 - 22 degrees,A
What is the difference between the Peelaway 1 and the Peelaway 7?,2,Brand,Peelaway,"Peelaway 7 is for modern paint, Peelaway 1 is for older lead based ","Peelaway 1 is for modern paint, Peelaway 7 is for older paint",Peelaway 1 can go inside but Peelaway 7 is outside,Peelaway 7 is inside and Peelaway 1 can go outside ,A
What is the correct technique for applying oil?,2,Application,Oil,Apply thinly across the wood grain and wipe excess off with cloth,Apply thinly across the wood grain with a roller and wipe off excess with brush ,Apply with a roller and leave to dry ,Apply with a stockinette cloth ,A
What is the correct technique for applying varnish? ,2,Application,Varnish,Apply liberally with a roller and a brush for the edges,Apply with a cloth and buff off the excess,Apply with a trowel and brush for the edges,Apply with a garden sprayer,A
Why does hardwood need weathering outside? ,2,Wood,Hardwood,To release all the natural oils ,To reduce the water content ,To allow the wood to silver before treating ,To let the timber go mouldy,A
What primers are not recommended to use under Bona mega?,2,Brand,Bona,Bona natural and white primer,Bona natural and classic UX primer,Bona amber and intense primer,Bona white and amber primer,A
What is oxalic acid?,2,General K,,A bleaching agent,A wood glue,A varnish,An oil ,A
What product in this list is only good for rough sawn timber?,2,Wood,Softwood,Cuprinol Ducksback,Cuprinol garden shades,Cuprinol wood preserver clear,Cuprinol ultimate garden wood preserver,A
"I have 180mm floorboards and I want an adhesive, what one is best? ",2,Product type,Adhesive,Bona r848,Bona quantum,Bona titan ,Bona vertical ,A
What does the 250 and 440 mean In Morrells lacquers? ,2,Brand,Morrells,Percentage of solids,Percentage of sheens,Amount of durability,How much they cost ,A
What clear oil  would you recommend for a Iroko worktop? ,2,Product type,Oil,Fiddes hard wax oil ,Osmo top oil ,Osmo wood wax finish transparent ,Barrettine linseed oil ,A
What do you test the moisture in wood with? ,3,Wood,Test,Moisture meter detector ,Meter scanning pad ,Calcium carbide test,A temperature guage ,A
"Customer has used Osmo 3044 on teak, looks milky, why is this? ",3,Brand,Osmo,Wrong product used,Wrong application method,Sanded too finely ,Product has not been mixed ,A
What does open time mean? ,3,General Q,,How long once a product is opened you can use it,The curing time of a product,The drying time of a product ,The time you have to mix the product ,A
What causes blooming on a finish? ,3,General Q,,Moisture  ,Natural oils ,Swelling of paint film ,Lack of adhesion ,A
What is an orbital sander used for? ,3,Preparation ,Sanding,Rotates in circles and back and forth typically used for flooring ,The smallest sander and made for getting in tight spots ,A big floor sander that normally takes drum belts ,Is a detail sander for sanding intricate details,A
Which wood in this list is known for being difficult to stain? ,3,Wood,Hardwood,Beech,Pine,Oak,Ash ,A
"Customer has old 1950's lead based paint to remove, what stripper is best? ",3,Product type,Stripper,Peelaway 1 ,Paint panther paint and varnish remover,Peelaway 7 ,Polyvine paint and varnish remover,A
What does a product do when it intumenscences? ,3,General Q,,Swells ,Contracts,Changes colour,Lets moisture out ,A
What is classed as a cold paint colour?,3,Product type,Paint,Blue,Red,Yellow,Orange,A
"A customer wants a clear finish for their teak external furniture, what is best after weathering? ",3,Wood,Hardwood,Fiddes exterior high build wood oil ,Osmo UV protection oil extra ,Barrettine wood protective treatment,Sadolin extra durable clearcoat,A
What cant you apply the Bona freshen up with?,3,Brand,Bona,Roller,Flat mop,Microfibre applicator pad,Brush,A
What wood would a reactive stain work best with?,3,Product type,Stain,Oak,Pine,Beech,Maple,A
What project would you use a alkali resisting primer? ,4,Product type,Primer,On masonry and new plaster where PH levels are high,In a bathroom where there is a lot of condensation,On flooring where you need to increase durability,On metal ,A
What type of trowel is best for Bona quantum? ,4,Brand,Bona,1500g course,500g fine,1000 course,750g medium-course,A
What chemical substances make up wood? ,4,General K,Chemicals,"Cellulose, Hemicellulose, Lignin, Extractives, Tannins","Cellulose, water, bark, lignin, leaves","Cellulose, water, Nitrogen, Tannins and Sugar","Lignin, water, bark, cement and silica",A
What does the term sidebonding mean?,4,Varnish,,Floor boards are uninterntially glued together along their edges ,When a product runs down the sides of the boards,When a product absorbs into the end grain meaning the boards swell,When a product does not adhere to the substrate,A
Why does paint sometimes 'wrinkle' or 'crinkle' as it dries? ,4,Product type,Paint,Paint dries too fast on the surface and contracts on layers below are too wet,Paint dries to slow on the surface and doesn’t adhere to layers below,"Contaminates on the surface such as grease, oil, wax",Spraying paint to a cold surface,A
What repair care dry flex would be most suitable for hot humid conditions?,4,Brand,Repaircare,DRY FLEX 16,DRY FLEX 1,DRY FLEX 4,DRY FLEX 21,A
What is the chemical reaction behind 'yellowing' or darkening over top when using oil finishes? ,4,Product type,Oil,Oxidation of oil molecules,Reduction of wood moisture content,Formation of acids from chemical reactions,Release of tannins from the wood,A
What is the primary reason that ciranova oil based finishes require a longer curing time compared to water based finishes? ,4,Brand,Ciranova,Oil based have chemical reaction called oxidation which requires additional time,Water based finishes use a faster drying solvent,Oil based finishes contain more volatile organic compounds and take 3 days to dry,Oil based finishes require heat to cure properly,A
Dulux Trade Diamond Matt is highly regarded for its durability in high-traffic areas. What unique feature of the product's formulation contributes to its exceptional resistance to stains and marks?,4,Brand,Dulux,The paint contains a special blend of acrylic resins that cross-link to form an ultra-durable finish resistant to scuffing and staining.,"It uses a high-pigment formula that creates a thick layer, preventing any stains from penetrating the surface.","The paint is fortified with an additional layer of polymerized wax, which makes it hydrophobic and stain-resistant.",It includes an anti-bacterial agent that repels stains and resists mold growth in humid areas.,A
What type of nails are recommend for someone making a gate? And then staining?,4,Product type,Stain,Galvanised steel nails,Copper nails,Aluminum nails,Un galvanised steel,A
"If someone has a log cabin and its 10m (l) x 4.5m  (w) and 3m (h) and they want to do the four walls inside, outside, flooring and ceiling. How many m2 do they have? ",4,Measurements,,177,171,166,189,A
"When applying Zinsser ""BIN"" shellac-based primer on wood surfaces with significant moisture exposure (e.g., exterior wood trim), why is it important to seal the wood with a moisture-resistant topcoat after BIN application?",4,Brand,Zinsser, BIN does not provide sufficient long-term moisture protection on its own and may break down when exposed to water over time.,BIN’s high-gloss finish creates a reflective layer that blocks UV rays but does not form an impermeable moisture barrier.,"The shellac in BIN is too porous and allows moisture to seep through, so a final waterproof layer is needed to prevent potential damage.","Although BIN seals the wood from moisture, it lacks UV protection, so a topcoat is required to prevent color fading.",A
What product on the website has a isocyanate warning? ,4,General K,Chemicals,Manns extra tough pro lacquer,Ronseal diamond hard interior varnish ,Manns trade bar top lacquer,Bona Traffic HD  ,A
"How does the use of light pastel colors like soft pink, mint green, or lavender affect the mood of a room?",4,Colour,Mood,"Light pastel colours are known to create a soothing, peaceful and serene atmosphere",Pastel colors make rooms feel darker and more enclosed,Pastels are associated with high energy and excitement,Pastels are typically used for office spaces to boost concentration and productivity,A
"What is the role of the lignin component in wood's resistance to biodegradation, and how does it interact with the cellulose fibers?",5,Wood,," lignin interacts with cellulose fibers by cross-linking with them, reinforcing the cell wall structure.","Lignin provides nutrients to microbial organisms, promoting biodegradation in wood","Lignin acts as a lubricant, facilitating the breakdown of cellulose fibers during biodegradation","Lignin is responsible for the elasticity of wood, allowing it to resist biodegradation by bending and avoiding physical damage",A
"Which adhesive is ideal for creating a bond between two pieces of wood with different moisture contents, such as during woodworking in varying humidity?",5,Product type,Adhesive,Polyurethane glue,PVA glue,Epoxy resin,Hot glue,A
What happens to the wood surface after it is charred in the Shou Sugi Ban technique?,5,General K,,It forms a protective carbonized layer,It becomes smooth and shiny,It becomes porous and soft,It starts to degrade immediately,A
"Which of the following colors, when used in large quantities on walls, can make a room feel smaller and more enclosed, contrary to popular belief about its spaciousness?",5,Colour,Mood,Dark purple,Light grey,Bright white,Soft peach,A
"Which of the following oils is derived from the seeds of the Aleurites fordii tree and is known for its superior resistance to water and mildew, often used in boat building and other marine applications?",5,Product type,Oil,Tung oil ,Palm oil ,Linseed oil ,Walnut oil ,A
Which wood preservative is commonly used for fence posts and decking materials?,5,Product type,Preserver,Chromated copper arsenate (CCA),Borate,Tannin-based preservatives,Zinc oxide,A
Earthborn's paints are known for their minimal environmental impact. Which of the following elements contributes most to this low environmental impact?,5,Brand,Earthborn,Exclusive use of natural pigments and clays,High solvent content that helps the paint dry faster,Exclusive use of titanum dioxide ,Use of synthetic resins to enhance paint performance,A
How is galvanisation done?,5,General K,,By coating steel or iron with a layer of zinc through a hot-dip process,By heating the metal until it becomes molten and then exposing it to oxygen for hardening,By using a chemical solution to bond aluminum to steel for protection against corrosion,By applying a thin layer of copper coating to the metal surface for corrosion resistance,A
How does the particle size of titanium dioxide in paint influence its performance?,5,General K,,Smaller particle sizes increase the opacity and brightness of the paint by enhancing light scattering.,Larger particle sizes are preferred to increase the paint's coverage and durability,Smaller particles decrease the paint's durability but increase its glossiness,"Larger particles improve paint flow, making the application smoother",A
What Polyvine product can be used to seal MDF? ,5,Brand,Polyvine,Polyvine multi surface lacquer,Polyvine heavy duty interior varnish,Polyvine heavy duty extreme varnish,Polyvine decorators varnish,A
What is the primary advantage of using waterborne preservatives over oil-based preservatives?,1,Product type,Preserver,Waterborne preservatives are generally less toxic and more eco-friendly,Waterborne preservatives provide a longer-lasting finish,Waterborne preservatives are more resistant to UV degradation,Waterborne preservatives penetrate deeper into the wood,A
Why is it important to apply Osmo finishes in thin layers rather than thick layers?,1,Brand,Osmo,Thin layers allow for better adhesion to the surface and avoid a tacky finish ,Thick layers provide a more durable finish but require much longer drying times,Thin layers are more prone to peeling and cracking ,Thick layers result in a glossy finish with good durability,A
5. Dulux Trade High Gloss is often used for woodwork. What is a key benefit of using High Gloss on wood compared to other finishes like satin or matt?,3,Brand,Dulux," It offers a smooth, reflective surface that makes the wood less prone to stains and marks","It allows for quick drying, but is less durable than other finishes","It enhances the wood grain, providing a more natural and matte appearance","It is ideal for covering existing paint layers, but may cause the wood surface to appear rough and uneven.",A
What psychological effect does using yellow paint in a room generally have?,3,Colour,Mood,"Yellow is uplifting, energizing colour that can stimulate happiness",Yellow is a calming colour that promotes deep relaxation ,"Yellow is best for creating a serious, focused atmopshere",Yellow shouldbe avoided in rooms because it causes feelings of anxiety ,A
"What does ""quarter-sawn"" wood grain refer to?",4,Wood,Grain,"Quarter-sawn wood is cut at a 90-degree angle to the growth rings, resulting in a straight grain pattern with a distinctive ""ray"" appearance","Quarter-sawn wood has a random, irregular grain pattern that enhances the wood's strength","Quarter-sawn wood is cut parallel to the growth rings, producing a wavy grain",Quarter-sawn wood grain comes from the outermost layer of the tree trunk,A
How can wood grain affect the strength of the wood?,3,Wood,Grain,"The alignment of the grain fibers impacts the wood’s strength. Wood with straight grain is stronger and more stable, while twisted or irregular grain reduces strength",The wood grain pattern does not affect the strength or stability of the wood,Irregular grain patterns increase the strength of the wood due to their unique structure,Wood with wavy grain is the most durable and resistant to breaking,A
Which of the following is a softwood tree?,1,Wood,Softwood,Spruce,Mahogany,Ash,Beech,A
What is the primary characteristic of softwood fibers?,2,Wood,Softwood,Softwood fibers are generally long and straight,Softwood fibers are short and twisted,Softwood fibers are hard and compact,Softwood fibers are highly porous,A
Which of the following hardwoods is commonly used for flooring?,1,Wood,Hardwood,Oak,Pine,Teak  ,Redwood,A
"Which hardwood is known for its unique ""figured"" grain patterns, such as curly or quilted grain",5,Wood,Hardwood,Maple,Oak  ,Pine ,Ash,A
What type of wood is commonly used for turning on a lathe?,4,Wood,Hardwood,Maple,Pine  ,Cedar,Bamboo,A
What makes ebony wood especially valuable?,3,Wood,Hardwood,"Ebony is prized for its dense, dark color and fine texture, often used for inlays and luxury items",Ebony is a very light wood that is easy to carve and shape,"Ebony is soft and inexpensive, used mainly for construction",Ebony has a uniform light color and is used for outdoor furniture,A
Which of the following is a primary effect of UV exposure on wood surfaces?,2,Wood,UV,UV exposure causes the wood to lose its colour and become grayed,UV exposure makes the wood darker and enhances its grain pattern,"UV exposure strengthens the fibers, making the wood more durable",UV exposure makes the wood more flexible and resistant to cracking,A
How does UV degradation affect the structural integrity of wood?,4,Wood,UV,"UV degradation weakens the wood's cellular structure, leading to reduced strength and increased brittleness.",UV degradation strengthens the wood's structure by promoting new growth,UV degradation makes the wood more resistant to impact damage,UV degradation does not affect the strength of the wood but changes its appearance,A
What material is commonly used as the abrasive in sandpaper?,3,Preparation,Sandpaper,Aluminum Oxide,Copper,Iron,Gold,A
Which of the following is a primary ingredient in Osmo wood finishes? ,4,Brand,Osmo,Linseed oil,Silicone,Beeswax,Water,A
How often does Osmo recommend reapplying their finishes on exterior wood?,1,Brand,Osmo,2 years,1 year,1.5 years,4 years,A
What is the ideal temperature range for applying Osmo Wood Finishes?,2,Brand ,Osmo,8 - 25 degrees,0 - 5 degrees,25 - 35 degrees,5 - 25 degrees,A
What is the recommended method to test the effectiveness of Osmo finishes in providing water resistance?,3,Brand ,Osmo ,Place a small droplet of water on the surface and check after an hour,Submerge the wood in water for 30 minutes and inspect the wood’s response,Use a heat gun to dry the wood after applying Osmo finishes,Press a damp cloth onto the finished surface and observe any colour change,A
Which factor limits the use of Zinsser’s BIN Shellac-Based Primer in certain projects?,4,Brand ,Zinsser,It is highly susceptible to water damage and is not suitable for exterior applications,It is incompatible with other oil-based paints,It requires specialized solvents to clean up after use,It can only be applied at temperatures above 70°F (21°C) to cure properly,A
Cuprinol’s Decking Cleaner is designed to prepare decking before treatment. What is the primary function of this cleaner?,2,Brand,Cuprinol,It restores the wood’s natural colour and texture by removing dirt and algae,"It removes old, peeling paint and creates a smooth surface",It provides a protective coating that prevents future staining,It seals the surface to prevent moisture from entering the wood,A
Which type of adhesive is best for outdoor woodworking projects where moisture resistance is required?,3,Product type,Adhesive,Polyurethane glue,PVA glue,Hot glue,Superglue,A
